species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
JulmaS,lampr,0.017162148280375,0.0423035915393908,0.120166916513492,0.0542597691199607,-0.0036299237256565,0.0135592179839974,-20.756765785,6.5749548603
Julmrk,lampr,0.035375980253107,0.0431149575389831,0.116254849857299,0.059924493535091,-0.000878628377437255,0.0168165418774267,-19.960880287,6.4999811612
Julorn,lampr,0.0431392778453358,0.0428276915961069,0.137904965241934,0.0602091843742668,-0.000156618440436964,0.0157091709473238,-19.023780325,6.6854288116
Julreg,lampr,0.0267851973669888,0.0446639267675295,0.126352805296246,0.0651334282208028,-0.00202888453948886,0.0158450785362111,-18.990345194,6.5534593594
JulreK,lampr,0.0248844525204596,0.0464702013775624,0.110438194750744,0.0734715187497017,-0.000423711114399998,0.0124036766897777,-21.171242052,6.7145295421
Julunt,lampr,0.0145966713559098,0.0218114377184006,0.113654955719745,0.0810096991632401,0.00803315183956408,0.0158463453410203,-21.8666262355556,6.14386861111111
Lamcal,lampr,0.0261299699483672,-0.00536131370304417,-0.051057691116899,0.0343541157153856,0.0110452409914628,-0.0135120112578429,-19.150427463,6.6952498575
Lamfin,lampr,0.0223417784291122,0.00870299381238818,NA,NA,0.00014645423465149,-0.00785403926925046,NA,NA
Lamkun,lampr,0.0308770235086409,-0.00543575065690461,0.032778589391987,0.0237143151477753,0.000991173499007224,-0.0102860895536972,-20.3799327622222,8.18614320777778
Lamlem,lampr,0.00436278130910057,-0.0263038796763934,0.0596619313094354,0.0949778528495043,0.0282624634281461,-0.0184940549465467,-17.447750866,7.072657176
Lammel,lampr,0.0286838222482061,-0.0195995095903943,0.0566288298181494,0.0540642426519451,0.0107722688724856,-0.00229553573352251,-18.910310755,5.6225781623
Lamoce,lampr,0.00215680355452474,-0.0161042145978487,0.00740243389645106,0.0360726821027106,0.00884032778363432,-0.0286444921299408,-18.842333081,6.1669585893
LamorC,lampr,0.056056044976587,0.0119623690655715,0.069903065078955,0.0172266121072017,0.00165132358343175,0.00397438760044149,-20.83912568,7.60976488
Lamorn,lampr,0.0412388048876979,-0.00182828157206925,0.0405624879662921,0.0324205834997185,0.00315523967298286,-0.00494545077744636,-21.044220934,7.6949287326
LamorS,lampr,0.0355761446743607,-0.0020559232154726,0.0613170707745055,0.0216958862321819,0.00272361754315309,-0.00637308510609969,-19.6213809411111,7.45585942322222
Lamsig,lampr,0.0392170804012684,-0.0123424547972153,0.0145796292735507,0.0241715958215181,0.00682530368380487,-0.00907007969338746,-20.410208496,5.9982127784
Lamspe,lampr,0.00327673630288599,-0.0147463198469976,-0.00696344304446476,0.0481441162541129,0.0093362112915691,-0.0260957761262353,-19.551950802,6.2031451689
Lchaur,limno,-0.0155132027709563,-0.0112225804717964,0.00659915737534498,-0.0659310339086977,0.00948070119821506,-0.00358178793323968,-20.319767013,7.3853613108
Lepatt,lampr,0.0437710255446169,0.0143543165547641,-0.0188187458389783,0.110227007521773,-0.00785513702484677,-0.00919583306071671,-19.944393617,7.2808319641
Lepcun,lampr,0.0265095403559628,0.0232713983384401,0.0529039755223995,0.0573073184275128,0.00224311414266417,0.00271409726247724,-20.247715664,7.7747464633
Lepelo,lampr,0.00491944740143239,0.00428393091642812,-0.0688619341958907,0.132050666125537,-0.00833942164180394,-0.00869134262964915,-18.962498466,7.7076785457
Lepkam,lampr,0.0276464146245946,0.0216051555860889,-0.0498392374945783,0.122986576301205,-0.0108328020474822,-0.0113111930924241,-19.320419273,7.6446461564
Lepken,lampr,0.030744928269382,0.0211959101909446,-0.0547997463967984,0.116274627143917,-0.00982840091833452,-0.00624956460858735,-20.022741383,7.5627340012
LepmeK,lampr,0.0505547169125672,0.0185969577163648,-0.0255305126517835,0.0961215576081583,-0.0058065605913578,0.00075069245121664,-20.732606197,6.7943217828
Lepmim,lampr,0.0256241106260586,0.0200628877154447,-0.0564428847411067,0.126631610307195,-0.0095094336606638,-0.0130368201679632,-20.399893111,7.3226819047
Lepnka,lampr,0.0370470322005784,0.0264872944766038,NA,NA,-0.0121724699861586,-0.012995650144323,NA,NA
Leppro,lampr,0.014173771582407,0.0187806221594787,-0.129033098578851,0.134470404235978,-0.0103847017935968,-0.0182251449818409,-19.668272385,7.8198083996
Lesper,ectod,0.0174547581308258,-0.00106749825774771,0.0422000810343267,-0.069586029103855,-0.00927698086619328,0.00732397180005214,-20.163775564,5.6178947506
Lessta,ectod,0.0369357236769988,0.010263804536978,0.0411568149324015,-0.0504304568288793,-0.00694241745210658,0.0099760235573155,-23.368738605,5.8612486546
Limdar,troph,-0.0232328611046805,0.00291266293798142,-0.011771857689871,-0.0523210684997919,-0.0118351145506885,0.00592462267766991,-18.810979499,7.0258305811
Loblab,troph,-0.0588197316376888,-0.0323591629731442,0.0309266920921096,-0.0736252461222608,0.0208464634355617,0.0064940934010053,-16.060018566,7.3624232092
Mdcrot,ectod,0.0401747931261279,-0.00161609284412895,-0.0401434774506586,0.0449385767536869,-0.00183382210071754,0.00906565577005538,-23.297479541,6.0484737112
Mdcten,ectod,0.049165466509369,0.00439675713802257,-0.0419524204932602,0.00866920390292542,0.00142867383867436,0.0116882799125855,-22.046035679,6.2749849071
Neobif,lampr,0.00624905884892922,-0.0242793832008565,0.0376508542564199,0.066315838022117,0.0209610119025569,-0.01160246774516,-20.250854736,7.6680899049
Neobou,lampr,0.0193016998688711,-0.00730928075704295,0.0430356625525871,0.117525313170563,-6.79287869984271e-06,-0.0196602937238117,-19.787674445,6.9303366214
Neobre,lampr,-0.00737377988286072,-0.0387613281775825,-0.0408792096123458,0.031162673759464,0.0159902650742991,-0.0130110751615971,-21.6562357,6.3367524193
Neobri,lampr,0.0059354710701868,-0.00971739235703732,0.00633630864006411,0.0379192437293103,0.0138310955178568,0.000895029932211545,-21.89534005,7.5925586183
NeobrM,lampr,0.00113383130579109,-0.0336388182033346,-0.0333395806017702,0.030029169582592,0.0177473486819609,-0.0218796032106326,-22.006922525,6.7918741509
Neobue,lampr,0.0318470721865068,-0.0124497664114893,-0.0278269730371252,0.0383125657497317,0.01551373639836,-0.00277383512879743,-22.188724182,6.9178862022
NeocaK,lampr,0.00626238270182943,-0.00912942780478493,0.0471459904579345,0.0197440801637937,0.00831190984505654,-0.00185344736252681,-15.806545456,7.0159610691
Neocal,lampr,0.0105128893024371,-0.0259620981540193,-0.0472741434048696,0.0223896495392465,0.0178265164842142,-0.0121394812119396,-21.612122484,6.9103968802
Neocan,lampr,0.0416579848522318,0.0403013832634975,0.0288402225471204,0.031801718474369,-0.00937985146771661,0.00769663235189024,-16.30024331,6.767614529
Neocau,lampr,0.0130863563453847,-0.0155630827927832,0.023754762711801,0.0436748391316488,0.00669606150337247,-0.00141845296694448,-22.198317853,6.264649705
Neochi,lampr,0.0155433716204196,-8.62438718098174e-05,0.039616407950039,-0.008976150562109,0.0093016990191469,-0.000790023484526222,-19.281866412,6.1653060321
Neochr,lampr,0.00736031577752574,0.0268474109974544,0.0760194832840183,0.0134495492967583,0.000185343804277473,0.000733649022071188,-16.191654461,7.0140554464
Neocra,lampr,0.00781482057306802,0.00117248554376329,0.0402907544933932,0.0385892520433046,0.00882263149003881,0.00128771101171961,-23.129121752,6.0850656235
Neocyg,lampr,0.00673231219829147,-0.0109007726938557,0.0524211534258919,-0.00331779899279078,0.0108365369707328,-0.00385367576942887,-17.944149664,6.6742020596
Neocyl,lampr,0.0439019296829803,0.015972370314719,0.0404341382282292,0.0581555897350262,0.0130006548855351,-0.000805683936024506,-19.329299204,6.948954587
Neoese,lampr,0.0108896149999439,0.0183511372901009,0.0967340923525766,-0.000981733594495862,0.00392925961794259,0.00176869676898918,-13.3919605234,6.8888355965
Neofal,lampr,0.00235052709627555,-0.0110474977792448,0.0183625017296528,-0.0109153257703548,0.0116146496317352,-0.00253867391732276,-20.704110704,7.5236347221
NeofaM,lampr,0.016283122255254,-0.00119308534523236,0.028975539353343,0.0520152547591719,0.0112034861381208,0.0030887413922236,-22.3524777154545,5.77379723827273
Neofur,lampr,0.0267475250879861,0.0200464957886782,0.0362802669589567,0.0718406589050308,0.0111377732180042,-0.00626092127779489,-19.424232348,7.1122481987
NeofuU,lampr,0.0493250878636728,0.0297866803607056,0.0260464040970201,0.0658740705592819,0.00816599849188574,-0.00402941052343762,-18.247372969,7.2167136411
